0.8;0.8.0;112600 / 112600;0
0.8.0.5.0;0.8.0.5.0.7;-100 / 100;1
0.8.0.5.0;0.8.0.5.0.8;-100 / 100;1
0.8.0.5.0;0.8.0.5.0.9;-100 / 100;1
0.8.0.5.1;0.8.0.5.1.0;-200 / 200;1
0.8.0.5.1;0.8.0.5.1.1;-200 / 200;1
0.8.0.5.1;0.8.0.5.1.2;-200 / 200;1
0.8.0.5.1;0.8.0.5.1.3;-100 / 100;1
0.8.0.5.1;0.8.0.5.1.4;-100 / 100;1
0.8.0.5.1;0.8.0.5.1.5;-100 / 100;1
0.8.0.5.1;0.8.0.5.1.6;-100 / 100;1
0.8.0.5.1;0.8.0.5.1.7;-100 / 100;1
0.8.0.5.2;0.8.0.5.2.0;-200 / 200;1
0.8.0.5.2;0.8.0.5.2.1;-200 / 200;1
0.8.0.5.2;0.8.0.5.2.2;-200 / 200;1
0.8.0.5.2;0.8.0.5.2.3;-100 / 100;1
0.8.0.5.2;0.8.0.5.2.4;-100 / 100;1
0.8.0.5.2;0.8.0.5.2.5;-100 / 100;1
0.8.0.5.2;0.8.0.5.2.6;-100 / 100;1
0.8.0.5.2;0.8.0.5.2.7;-100 / 100;1
0.8.0.5.3;0.8.0.5.3.0;-200 / 200;1
0.8.0.5.3;0.8.0.5.3.1;-200 / 200;1
0.8.0.5.3;0.8.0.5.3.2;-200 / 200;1
0.8.0.5.3;0.8.0.5.3.3;-100 / 100;1
0.8.0.5.3;0.8.0.5.3.4;-100 / 100;1
0.8.0.5.3;0.8.0.5.3.5;-100 / 100;1
0.8.0.5.3;0.8.0.5.3.6;-100 / 100;1
0.8.0.5.3;0.8.0.5.3.7;-100 / 100;1
0.8.0.5.4;0.8.0.5.4.0;-200 / 200;1
0.8.0.5.4;0.8.0.5.4.1;-200 / 200;1
0.8.0.5.4;0.8.0.5.4.2;-200 / 200;1
0.8.0.5.4;0.8.0.5.4.3;-100 / 100;1
0.8.0.5.4;0.8.0.5.4.4;-100 / 100;1
0.8.0.5.4;0.8.0.5.4.5;-100 / 100;1
0.8.0.5.4;0.8.0.5.4.6;-100 / 100;1
0.8.0.5.4;0.8.0.5.4.7;-100 / 100;1
0.8.0.5.5;0.8.0.5.5.0;-200 / 200;1
0.8.0.5.5;0.8.0.5.5.1;-200 / 200;1
0.8.0.5.5;0.8.0.5.5.2;-200 / 200;1
0.8.0.5.5;0.8.0.5.5.3;-200 / 200;1
0.8.0.5.5;0.8.0.5.5.4;-200 / 200;1
0.8.0.5.6;0.8.0.5.6.0;-300 / 300;1
0.8.0.5.6;0.8.0.5.6.1;-300 / 300;1
0.8.0.5.6;0.8.0.5.6.2;-200 / 200;1
0.8.0.5.6;0.8.0.5.6.3;-200 / 200;1
0.8.0.5.7;0.8.0.5.7.0;-300 / 300;1
0.8.0.5.7;0.8.0.5.7.1;-300 / 300;1
0.8.0.5.7;0.8.0.5.7.2;-200 / 200;1
0.8.0.5.7;0.8.0.5.7.3;-200 / 200;1
0.8.0.5.8;0.8.0.5.8.0;-300 / 300;1
0.8.0.5.8;0.8.0.5.8.1;-300 / 300;1
0.8.0.5.8;0.8.0.5.8.2;-200 / 200;1
0.8.0.5.8;0.8.0.5.8.3;-200 / 200;1
0.8.0.5.9;0.8.0.5.9.0;-300 / 300;1
0.8.0.5.9;0.8.0.5.9.1;-300 / 300;1
0.8.0.5.9;0.8.0.5.9.2;-200 / 200;1
0.8.0.5.9;0.8.0.5.9.3;-200 / 200;1
0.8.0.5.10;0.8.0.5.10.0;-1000 / 1000;1
0.8.0.5.11;0.8.0.5.11.0;-1000 / 1000;1
0.8.0.5.12;0.8.0.5.12.0;-1000 / 1000;1
0.8.0.5.13;0.8.0.5.13.0;-1000 / 1000;1
0.8.0.5.14;0.8.0.5.14.0;-1000 / 1000;1
0.8.0.6.0;0.8.0.6.0.0;-200 / 200;1
0.8.0.6.0;0.8.0.6.0.1;-100 / 100;1
0.8.0.6.0;0.8.0.6.0.2;-100 / 100;1
0.8.0.6.0;0.8.0.6.0.3;-100 / 100;1
0.8.0.6.0;0.8.0.6.0.4;-100 / 100;1
0.8.0.6.0;0.8.0.6.0.5;-100 / 100;1
0.8.0.6.0;0.8.0.6.0.6;-100 / 100;1
0.8.0.6.0;0.8.0.6.0.7;-100 / 100;1
0.8.0.6.0;0.8.0.6.0.8;-100 / 100;1
0.8.0.6.0;0.8.0.6.0.9;-100 / 100;1
0.8.0.6.1;0.8.0.6.1.0;-200 / 200;1
0.8.0.6.1;0.8.0.6.1.1;-200 / 200;1
0.8.0.6.1;0.8.0.6.1.2;-100 / 100;1
0.8.0.6.1;0.8.0.6.1.3;-100 / 100;1
0.8.0.6.1;0.8.0.6.1.4;-100 / 100;1
0.8.0.6.1;0.8.0.6.1.5;-100 / 100;1
0.8.0.6.1;0.8.0.6.1.6;-100 / 100;1
0.8.0.6.1;0.8.0.6.1.7;-100 / 100;1
0.8.0.6.2;0.8.0.6.2.0;-200 / 200;1
0.8.0.6.2;0.8.0.6.2.1;-200 / 200;1
0.8.0.6.2;0.8.0.6.2.2;-100 / 100;1
0.8.0.6.2;0.8.0.6.2.3;-100 / 100;1
0.8.0.6.2;0.8.0.6.2.4;-100 / 100;1
0.8.0.6.2;0.8.0.6.2.5;-100 / 100;1
0.8.0.6.2;0.8.0.6.2.6;-100 / 100;1
0.8.0.6.2;0.8.0.6.2.7;-100 / 100;1
0.8.0.6.3;0.8.0.6.3.0;-200 / 200;1
0.8.0.6.3;0.8.0.6.3.1;-200 / 200;1
0.8.0.6.3;0.8.0.6.3.2;-100 / 100;1
0.8.0.6.3;0.8.0.6.3.3;-100 / 100;1
0.8.0.6.3;0.8.0.6.3.4;-100 / 100;1
0.8.0.6.3;0.8.0.6.3.5;-100 / 100;1
0.8.0.6.3;0.8.0.6.3.6;-100 / 100;1
0.8.0.6.3;0.8.0.6.3.7;-100 / 100;1
0.8.0.6.4;0.8.0.6.4.0;-200 / 200;1
0.8.0.6.4;0.8.0.6.4.1;-200 / 200;1
0.8.0.6.4;0.8.0.6.4.2;-100 / 100;1
0.8.0.6.4;0.8.0.6.4.3;-100 / 100;1
0.8.0.6.4;0.8.0.6.4.4;-100 / 100;1
0.8.0.6.4;0.8.0.6.4.5;-100 / 100;1
0.8.0.6.4;0.8.0.6.4.6;-100 / 100;1
0.8.0.6.4;0.8.0.6.4.7;-100 / 100;1
0.8.0.6.5;0.8.0.6.5.0;-200 / 200;1
0.8.0.6.5;0.8.0.6.5.1;-200 / 200;1
0.8.0.6.5;0.8.0.6.5.2;-200 / 200;1
0.8.0.6.5;0.8.0.6.5.3;-200 / 200;1
0.8.0.6.5;0.8.0.6.5.4;-200 / 200;1
0.8.0.6.6;0.8.0.6.6.0;-300 / 300;1
0.8.0.6.6;0.8.0.6.6.1;-300 / 300;1
0.8.0.6.6;0.8.0.6.6.2;-200 / 200;1
0.8.0.6.6;0.8.0.6.6.3;-200 / 200;1
0.8.0.6.7;0.8.0.6.7.0;-300 / 300;1
0.8.0.6.7;0.8.0.6.7.1;-300 / 300;1
0.8.0.6.7;0.8.0.6.7.2;-200 / 200;1
0.8.0.6.7;0.8.0.6.7.3;-200 / 200;1
0.8.0.6.8;0.8.0.6.8.0;-300 / 300;1
0.8.0.6.8;0.8.0.6.8.1;-300 / 300;1
0.8.0.6.8;0.8.0.6.8.2;-200 / 200;1
0.8.0.6.8;0.8.0.6.8.3;-200 / 200;1
0.8.0.6.9;0.8.0.6.9.0;-300 / 300;1
0.8.0.6.9;0.8.0.6.9.1;-300 / 300;1
0.8.0.6.9;0.8.0.6.9.2;-200 / 200;1
0.8.0.6.9;0.8.0.6.9.3;-200 / 200;1
0.8.0.6.10;0.8.0.6.10.0;-1000 / 1000;1
0.8.0.6.11;0.8.0.6.11.0;-1000 / 1000;1
0.8.0.6.12;0.8.0.6.12.0;-1000 / 1000;1
0.8.0.6.13;0.8.0.6.13.0;-1000 / 1000;1
0.8.0.6.14;0.8.0.6.14.0;-1000 / 1000;1
0.8.0.0.1.0;0.8.0.0.1.0.0;-100 / 100;1
0.8.0.0.2.0;0.8.0.0.2.0.0;-100 / 100;1
0.8.0.0.3.0;0.8.0.0.3.0.0;-100 / 100;1
0.8.0.0.4.0;0.8.0.0.4.0.0;-100 / 100;1
0.8.0.0.5.0;0.8.0.0.5.0.0;-100 / 100;1
0.8.0.0.5.1;0.8.0.0.5.1.0;-100 / 100;1
0.8.0.0.5.2;0.8.0.0.5.2.0;-100 / 100;1
0.8.0.0.5.3;0.8.0.0.5.3.0;-100 / 100;1
0.8.0.0.6.0;0.8.0.0.6.0.0;-200 / 200;1
0.8.0.0.6.1;0.8.0.0.6.1.0;-100 / 100;1
0.8.0.0.6.2;0.8.0.0.6.2.0;-100 / 100;1
0.8.0.0.6.3;0.8.0.0.6.3.0;-100 / 100;1
0.8.0.0.7.0;0.8.0.0.7.0.0;-200 / 200;1
0.8.0.0.7.1;0.8.0.0.7.1.0;-100 / 100;1
0.8.0.0.7.2;0.8.0.0.7.2.0;-100 / 100;1
0.8.0.0.7.3;0.8.0.0.7.3.0;-100 / 100;1
0.8.0.0.8.0;0.8.0.0.8.0.0;-200 / 200;1
0.8.0.0.8.1;0.8.0.0.8.1.0;-100 / 100;1
0.8.0.0.8.2;0.8.0.0.8.2.0;-100 / 100;1
0.8.0.0.8.3;0.8.0.0.8.3.0;-100 / 100;1
0.8.0.0.9.0;0.8.0.0.9.0.0;-200 / 200;1
0.8.0.0.9.1;0.8.0.0.9.1.0;-100 / 100;1
0.8.0.0.9.2;0.8.0.0.9.2.0;-100 / 100;1
0.8.0.0.9.3;0.8.0.0.9.3.0;-100 / 100;1
0.8.0.0.10.0;0.8.0.0.10.0.2;300 / 300;0
0.8.0.0.10.0;0.8.0.0.10.0.3;200 / 200;0
0.8.0.0.10.0;0.8.0.0.10.0.4;100 / 100;0
0.8.0.0.10.0;0.8.0.0.10.0.5;100 / 100;0
0.8.0.0.10.0;0.8.0.0.10.0.6;100 / 100;0
0.8.0.0.11.0;0.8.0.0.11.0.1;100 / 100;0
0.8.0.0.11.0;0.8.0.0.11.0.2;100 / 100;0
0.8.0.0.11.0;0.8.0.0.11.0.3;200 / 200;0
0.8.0.0.11.0;0.8.0.0.11.0.4;100 / 100;0
0.8.0.0.11.0;0.8.0.0.11.0.5;100 / 100;0
0.8.0.0.11.0;0.8.0.0.11.0.6;200 / 200;0
0.8.0.0.12.0;0.8.0.0.12.0.2;300 / 300;0
0.8.0.0.12.0;0.8.0.0.12.0.3;100 / 100;0
0.8.0.0.12.0;0.8.0.0.12.0.4;100 / 100;0
0.8.0.0.12.0;0.8.0.0.12.0.5;100 / 100;0
0.8.0.0.12.0;0.8.0.0.12.0.6;100 / 100;0
0.8.0.0.13.0;0.8.0.0.13.0.0;200 / 200;0
0.8.0.0.13.0;0.8.0.0.13.0.1;100 / 100;0
0.8.0.0.13.0;0.8.0.0.13.0.2;100 / 100;0
0.8.0.0.13.0;0.8.0.0.13.0.3;100 / 100;0
0.8.0.0.13.0;0.8.0.0.13.0.4;200 / 200;0
0.8.0.0.14.0;0.8.0.0.14.0.1;100 / 100;0
0.8.0.0.14.0;0.8.0.0.14.0.2;100 / 100;0
0.8.0.0.14.0;0.8.0.0.14.0.3;200 / 200;0
0.8.0.0.14.0;0.8.0.0.14.0.5;300 / 300;0
0.8.0.1.1.0;0.8.0.1.1.0.0;-100 / 100;1
0.8.0.1.1.1;0.8.0.1.1.1.0;-100 / 100;1
0.8.0.1.2.0;0.8.0.1.2.0.0;-100 / 100;1
0.8.0.1.2.1;0.8.0.1.2.1.0;-100 / 100;1
0.8.0.1.3.0;0.8.0.1.3.0.0;-100 / 100;1
0.8.0.1.3.1;0.8.0.1.3.1.0;-100 / 100;1
0.8.0.1.4.0;0.8.0.1.4.0.0;-100 / 100;1
0.8.0.1.4.1;0.8.0.1.4.1.0;-100 / 100;1
0.8.0.1.5.0;0.8.0.1.5.0.0;-100 / 100;1
0.8.0.1.5.1;0.8.0.1.5.1.0;-100 / 100;1
0.8.0.1.5.2;0.8.0.1.5.2.0;-100 / 100;1
0.8.0.1.5.3;0.8.0.1.5.3.0;-100 / 100;1
0.8.0.1.5.4;0.8.0.1.5.4.0;-100 / 100;1
0.8.0.1.6.0;0.8.0.1.6.0.0;-200 / 200;1
0.8.0.1.6.1;0.8.0.1.6.1.0;-200 / 200;1
0.8.0.1.6.2;0.8.0.1.6.2.0;-100 / 100;1
0.8.0.1.6.3;0.8.0.1.6.3.0;-100 / 100;1
0.8.0.1.7.0;0.8.0.1.7.0.0;-200 / 200;1
0.8.0.1.7.1;0.8.0.1.7.1.0;-100 / 100;1
0.8.0.1.7.2;0.8.0.1.7.2.0;-100 / 100;1
0.8.0.1.7.3;0.8.0.1.7.3.0;-100 / 100;1
0.8.0.1.8.0;0.8.0.1.8.0.0;-200 / 200;1
0.8.0.1.8.1;0.8.0.1.8.1.0;-100 / 100;1
0.8.0.1.8.2;0.8.0.1.8.2.0;-100 / 100;1
0.8.0.1.8.3;0.8.0.1.8.3.0;-100 / 100;1
0.8.0.1.9.0;0.8.0.1.9.0.0;-200 / 200;1
0.8.0.1.9.1;0.8.0.1.9.1.0;-100 / 100;1
0.8.0.1.9.2;0.8.0.1.9.2.0;-100 / 100;1
0.8.0.1.9.3;0.8.0.1.9.3.0;-100 / 100;1
0.8.0.1.10.0;0.8.0.1.10.0.0;200 / 200;0
0.8.0.1.10.0;0.8.0.1.10.0.2;100 / 100;0
0.8.0.1.10.0;0.8.0.1.10.0.3;100 / 100;0
0.8.0.1.10.0;0.8.0.1.10.0.4;200 / 200;0
0.8.0.1.10.0;0.8.0.1.10.0.5;200 / 200;0
0.8.0.1.11.0;0.8.0.1.11.0.0;200 / 200;0
0.8.0.1.11.0;0.8.0.1.11.0.1;100 / 100;0
0.8.0.1.11.0;0.8.0.1.11.0.2;200 / 200;0
0.8.0.1.11.0;0.8.0.1.11.0.3;100 / 100;0
0.8.0.1.11.0;0.8.0.1.11.0.4;100 / 100;0
0.8.0.1.11.0;0.8.0.1.11.0.5;100 / 100;0
0.8.0.1.12.0;0.8.0.1.12.0.0;200 / 200;0
0.8.0.1.12.0;0.8.0.1.12.0.1;300 / 300;0
0.8.0.1.12.0;0.8.0.1.12.0.2;100 / 100;0
0.8.0.1.12.0;0.8.0.1.12.0.4;100 / 100;0
0.8.0.1.12.0;0.8.0.1.12.0.6;100 / 100;0
0.8.0.1.13.0;0.8.0.1.13.0.0;100 / 100;0
0.8.0.1.13.0;0.8.0.1.13.0.1;200 / 200;0
0.8.0.1.13.0;0.8.0.1.13.0.3;200 / 200;0
0.8.0.1.13.0;0.8.0.1.13.0.4;300 / 300;0
0.8.0.1.14.0;0.8.0.1.14.0.0;200 / 200;0
0.8.0.1.14.0;0.8.0.1.14.0.1;100 / 100;0
0.8.0.1.14.0;0.8.0.1.14.0.2;100 / 100;0
0.8.0.1.14.0;0.8.0.1.14.0.3;100 / 100;0
0.8.0.1.14.0;0.8.0.1.14.0.5;200 / 200;0
0.8.0.1.14.0;0.8.0.1.14.0.6;100 / 100;0
0.8.0.2.1.0;0.8.0.2.1.0.0;-100 / 100;1
0.8.0.2.2.0;0.8.0.2.2.0.0;-100 / 100;1
0.8.0.2.3.0;0.8.0.2.3.0.0;-100 / 100;1
0.8.0.2.4.0;0.8.0.2.4.0.0;-100 / 100;1
0.8.0.2.5.0;0.8.0.2.5.0.0;-100 / 100;1
0.8.0.2.5.1;0.8.0.2.5.1.0;-100 / 100;1
0.8.0.2.5.2;0.8.0.2.5.2.0;-100 / 100;1
0.8.0.2.5.3;0.8.0.2.5.3.0;-100 / 100;1
0.8.0.2.6.0;0.8.0.2.6.0.0;-200 / 200;1
0.8.0.2.6.1;0.8.0.2.6.1.0;-100 / 100;1
0.8.0.2.6.2;0.8.0.2.6.2.0;-100 / 100;1
0.8.0.2.6.3;0.8.0.2.6.3.0;-100 / 100;1
0.8.0.2.7.0;0.8.0.2.7.0.0;-200 / 200;1
0.8.0.2.7.1;0.8.0.2.7.1.0;-100 / 100;1
0.8.0.2.7.2;0.8.0.2.7.2.0;-100 / 100;1
0.8.0.2.7.3;0.8.0.2.7.3.0;-100 / 100;1
0.8.0.2.8.0;0.8.0.2.8.0.0;-200 / 200;1
0.8.0.2.8.1;0.8.0.2.8.1.0;-100 / 100;1
0.8.0.2.8.2;0.8.0.2.8.2.0;-100 / 100;1
0.8.0.2.8.3;0.8.0.2.8.3.0;-100 / 100;1
0.8.0.2.9.0;0.8.0.2.9.0.0;-200 / 200;1
0.8.0.2.9.1;0.8.0.2.9.1.0;-100 / 100;1
0.8.0.2.9.2;0.8.0.2.9.2.0;-100 / 100;1
0.8.0.2.9.3;0.8.0.2.9.3.0;-100 / 100;1
0.8.0.2.10.0;0.8.0.2.10.0.0;100 / 100;0
0.8.0.2.10.0;0.8.0.2.10.0.1;200 / 200;0
0.8.0.2.10.0;0.8.0.2.10.0.3;200 / 200;0
0.8.0.2.10.0;0.8.0.2.10.0.5;200 / 200;0
0.8.0.2.10.0;0.8.0.2.10.0.6;100 / 100;0
0.8.0.2.11.0;0.8.0.2.11.0.0;100 / 100;0
0.8.0.2.11.0;0.8.0.2.11.0.2;200 / 200;0
0.8.0.2.11.0;0.8.0.2.11.0.3;100 / 100;0
0.8.0.2.11.0;0.8.0.2.11.0.4;100 / 100;0
0.8.0.2.11.0;0.8.0.2.11.0.5;300 / 300;0
0.8.0.2.12.0;0.8.0.2.12.0.0;200 / 200;0
0.8.0.2.12.0;0.8.0.2.12.0.1;100 / 100;0
0.8.0.2.12.0;0.8.0.2.12.0.3;100 / 100;0
0.8.0.2.12.0;0.8.0.2.12.0.5;200 / 200;0
0.8.0.2.12.0;0.8.0.2.12.0.6;200 / 200;0
0.8.0.2.13.0;0.8.0.2.13.0.0;200 / 200;0
0.8.0.2.13.0;0.8.0.2.13.0.1;100 / 100;0
0.8.0.2.13.0;0.8.0.2.13.0.2;100 / 100;0
0.8.0.2.13.0;0.8.0.2.13.0.4;200 / 200;0
0.8.0.2.13.0;0.8.0.2.13.0.5;200 / 200;0
0.8.0.2.14.0;0.8.0.2.14.0.0;200 / 200;0
0.8.0.2.14.0;0.8.0.2.14.0.2;200 / 200;0
0.8.0.2.14.0;0.8.0.2.14.0.6;400 / 400;0
0.8.0.3.1.0;0.8.0.3.1.0.0;-100 / 100;1
0.8.0.3.1.1;0.8.0.3.1.1.0;-100 / 100;1
0.8.0.3.2.0;0.8.0.3.2.0.0;-100 / 100;1
0.8.0.3.2.1;0.8.0.3.2.1.0;-100 / 100;1
0.8.0.3.3.0;0.8.0.3.3.0.0;-100 / 100;1
0.8.0.3.3.1;0.8.0.3.3.1.0;-100 / 100;1
0.8.0.3.4.0;0.8.0.3.4.0.0;-100 / 100;1
0.8.0.3.4.1;0.8.0.3.4.1.0;-100 / 100;1
0.8.0.3.5.0;0.8.0.3.5.0.0;-100 / 100;1
0.8.0.3.5.1;0.8.0.3.5.1.0;-100 / 100;1
0.8.0.3.5.2;0.8.0.3.5.2.0;-100 / 100;1
0.8.0.3.5.3;0.8.0.3.5.3.0;-100 / 100;1
0.8.0.3.5.4;0.8.0.3.5.4.0;-100 / 100;1
0.8.0.3.6.0;0.8.0.3.6.0.0;-200 / 200;1
0.8.0.3.6.1;0.8.0.3.6.1.0;-200 / 200;1
0.8.0.3.6.2;0.8.0.3.6.2.0;-100 / 100;1
0.8.0.3.6.3;0.8.0.3.6.3.0;-100 / 100;1
0.8.0.3.7.0;0.8.0.3.7.0.0;-200 / 200;1
0.8.0.3.7.1;0.8.0.3.7.1.0;-200 / 200;1
0.8.0.3.7.2;0.8.0.3.7.2.0;-100 / 100;1
0.8.0.3.7.3;0.8.0.3.7.3.0;-100 / 100;1
0.8.0.3.8.0;0.8.0.3.8.0.0;-200 / 200;1
0.8.0.3.8.1;0.8.0.3.8.1.0;-200 / 200;1
0.8.0.3.8.2;0.8.0.3.8.2.0;-100 / 100;1
0.8.0.3.8.3;0.8.0.3.8.3.0;-100 / 100;1
0.8.0.3.9.0;0.8.0.3.9.0.0;-200 / 200;1
0.8.0.3.9.1;0.8.0.3.9.1.0;-100 / 100;1
0.8.0.3.9.2;0.8.0.3.9.2.0;-100 / 100;1
0.8.0.3.9.3;0.8.0.3.9.3.0;-100 / 100;1
0.8.0.3.10.0;0.8.0.3.10.0.1;100 / 100;0
0.8.0.3.10.0;0.8.0.3.10.0.2;100 / 100;0
0.8.0.3.10.0;0.8.0.3.10.0.3;100 / 100;0
0.8.0.3.10.0;0.8.0.3.10.0.4;300 / 300;0
0.8.0.3.10.0;0.8.0.3.10.0.5;200 / 200;0
0.8.0.3.11.0;0.8.0.3.11.0.1;100 / 100;0
0.8.0.3.11.0;0.8.0.3.11.0.2;100 / 100;0
0.8.0.3.11.0;0.8.0.3.11.0.3;300 / 300;0
0.8.0.3.11.0;0.8.0.3.11.0.4;300 / 300;0
0.8.0.3.12.0;0.8.0.3.12.0.0;300 / 300;0
0.8.0.3.12.0;0.8.0.3.12.0.1;300 / 300;0
0.8.0.3.12.0;0.8.0.3.12.0.4;100 / 100;0
0.8.0.3.12.0;0.8.0.3.12.0.5;100 / 100;0
0.8.0.3.13.0;0.8.0.3.13.0.0;100 / 100;0
0.8.0.3.13.0;0.8.0.3.13.0.1;200 / 200;0
0.8.0.3.13.0;0.8.0.3.13.0.4;200 / 200;0
0.8.0.3.13.0;0.8.0.3.13.0.5;100 / 100;0
0.8.0.3.13.0;0.8.0.3.13.0.6;200 / 200;0
0.8.0.3.14.0;0.8.0.3.14.0.2;200 / 200;0
0.8.0.3.14.0;0.8.0.3.14.0.5;300 / 300;0
0.8.0.3.14.0;0.8.0.3.14.0.6;300 / 300;0
0.8.0.4.0.0;0.8.0.4.0.0.0;-100 / 100;1
0.8.0.4.1.0;0.8.0.4.1.0.0;-100 / 100;1
0.8.0.4.1.1;0.8.0.4.1.1.0;-100 / 100;1
0.8.0.4.1.2;0.8.0.4.1.2.0;-100 / 100;1
0.8.0.4.2.0;0.8.0.4.2.0.0;-100 / 100;1
0.8.0.4.2.1;0.8.0.4.2.1.0;-100 / 100;1
0.8.0.4.2.2;0.8.0.4.2.2.0;-100 / 100;1
0.8.0.4.3.0;0.8.0.4.3.0.0;-100 / 100;1
0.8.0.4.3.1;0.8.0.4.3.1.0;-100 / 100;1
0.8.0.4.3.2;0.8.0.4.3.2.0;-100 / 100;1
0.8.0.4.4.0;0.8.0.4.4.0.0;-100 / 100;1
0.8.0.4.4.1;0.8.0.4.4.1.0;-100 / 100;1
0.8.0.4.4.2;0.8.0.4.4.2.0;-100 / 100;1
0.8.0.4.5.0;0.8.0.4.5.0.0;-200 / 200;1
0.8.0.4.5.1;0.8.0.4.5.1.0;-100 / 100;1
0.8.0.4.5.2;0.8.0.4.5.2.0;-100 / 100;1
0.8.0.4.5.3;0.8.0.4.5.3.0;-100 / 100;1
0.8.0.4.5.4;0.8.0.4.5.4.0;-100 / 100;1
0.8.0.4.6.0;0.8.0.4.6.0.0;-200 / 200;1
0.8.0.4.6.1;0.8.0.4.6.1.0;-200 / 200;1
0.8.0.4.6.2;0.8.0.4.6.2.0;-200 / 200;1
0.8.0.4.6.3;0.8.0.4.6.3.0;-100 / 100;1
0.8.0.4.7.0;0.8.0.4.7.0.0;-200 / 200;1
0.8.0.4.7.1;0.8.0.4.7.1.0;-200 / 200;1
0.8.0.4.7.2;0.8.0.4.7.2.0;-200 / 200;1
0.8.0.4.7.3;0.8.0.4.7.3.0;-100 / 100;1
0.8.0.4.8.0;0.8.0.4.8.0.0;-200 / 200;1
0.8.0.4.8.1;0.8.0.4.8.1.0;-200 / 200;1
0.8.0.4.8.2;0.8.0.4.8.2.0;-200 / 200;1
0.8.0.4.8.3;0.8.0.4.8.3.0;-100 / 100;1
0.8.0.4.9.0;0.8.0.4.9.0.0;-200 / 200;1
0.8.0.4.9.1;0.8.0.4.9.1.0;-200 / 200;1
0.8.0.4.9.2;0.8.0.4.9.2.0;-200 / 200;1
0.8.0.4.9.3;0.8.0.4.9.3.0;-100 / 100;1
0.8.0.4.10.0;0.8.0.4.10.0.1;200 / 200;0
0.8.0.4.10.0;0.8.0.4.10.0.2;100 / 100;0
0.8.0.4.10.0;0.8.0.4.10.0.3;200 / 200;0
0.8.0.4.10.0;0.8.0.4.10.0.4;200 / 200;0
0.8.0.4.10.0;0.8.0.4.10.0.5;100 / 100;0
0.8.0.4.10.0;0.8.0.4.10.0.6;100 / 100;0
0.8.0.4.11.0;0.8.0.4.11.0.1;200 / 200;0
0.8.0.4.11.0;0.8.0.4.11.0.2;100 / 100;0
0.8.0.4.11.0;0.8.0.4.11.0.3;300 / 300;0
0.8.0.4.11.0;0.8.0.4.11.0.4;200 / 200;0
0.8.0.4.11.0;0.8.0.4.11.0.5;100 / 100;0
0.8.0.4.12.0;0.8.0.4.12.0.0;100 / 100;0
0.8.0.4.12.0;0.8.0.4.12.0.1;200 / 200;0
0.8.0.4.12.0;0.8.0.4.12.0.2;200 / 200;0
0.8.0.4.12.0;0.8.0.4.12.0.3;100 / 100;0
0.8.0.4.12.0;0.8.0.4.12.0.5;100 / 100;0
0.8.0.4.12.0;0.8.0.4.12.0.6;200 / 200;0
0.8.0.4.13.0;0.8.0.4.13.0.1;200 / 200;0
0.8.0.4.13.0;0.8.0.4.13.0.2;200 / 200;0
0.8.0.4.13.0;0.8.0.4.13.0.3;200 / 200;0
0.8.0.4.13.0;0.8.0.4.13.0.5;100 / 100;0
0.8.0.4.13.0;0.8.0.4.13.0.6;200 / 200;0
0.8.0.4.14.0;0.8.0.4.14.0.1;200 / 200;0
0.8.0.4.14.0;0.8.0.4.14.0.3;100 / 100;0
0.8.0.4.14.0;0.8.0.4.14.0.4;200 / 200;0
0.8.0.4.14.0;0.8.0.4.14.0.5;200 / 200;0
0.8.0.4.14.0;0.8.0.4.14.0.6;200 / 200;0
0.8.0.5.0.0;0.8.0.5.0.0.0;-100 / 100;1
0.8.0.5.1.0;0.8.0.5.1.0.0;-100 / 100;1
0.8.0.5.1.1;0.8.0.5.1.1.0;-100 / 100;1
0.8.0.5.1.2;0.8.0.5.1.2.0;-100 / 100;1
0.8.0.5.2.0;0.8.0.5.2.0.0;-100 / 100;1
0.8.0.5.2.1;0.8.0.5.2.1.0;-100 / 100;1
0.8.0.5.2.2;0.8.0.5.2.2.0;-100 / 100;1
0.8.0.5.3.0;0.8.0.5.3.0.0;-100 / 100;1
0.8.0.5.3.1;0.8.0.5.3.1.0;-100 / 100;1
0.8.0.5.3.2;0.8.0.5.3.2.0;-100 / 100;1
0.8.0.5.4.0;0.8.0.5.4.0.0;-100 / 100;1
0.8.0.5.4.1;0.8.0.5.4.1.0;-100 / 100;1
0.8.0.5.4.2;0.8.0.5.4.2.0;-100 / 100;1
0.8.0.5.5.0;0.8.0.5.5.0.0;-100 / 100;1
0.8.0.5.5.1;0.8.0.5.5.1.0;-100 / 100;1
0.8.0.5.5.2;0.8.0.5.5.2.0;-100 / 100;1
0.8.0.5.5.3;0.8.0.5.5.3.0;-100 / 100;1
0.8.0.5.5.4;0.8.0.5.5.4.0;-100 / 100;1
0.8.0.5.6.0;0.8.0.5.6.0.0;-200 / 200;1
0.8.0.5.6.1;0.8.0.5.6.1.0;-200 / 200;1
0.8.0.5.6.2;0.8.0.5.6.2.0;-100 / 100;1
0.8.0.5.6.3;0.8.0.5.6.3.0;-100 / 100;1
0.8.0.5.7.0;0.8.0.5.7.0.0;-200 / 200;1
0.8.0.5.7.1;0.8.0.5.7.1.0;-200 / 200;1
0.8.0.5.7.2;0.8.0.5.7.2.0;-100 / 100;1
0.8.0.5.7.3;0.8.0.5.7.3.0;-100 / 100;1
